title,first_name,last_name,emp_no,from_date,salary,birth_date
Senior Engineer,Georgi,Facello,10001,1986-06-26,60117,1953-09-02
Engineer,Chirstian,Koblick,10004,1986-12-01,40054,1954-05-01
Senior Engineer,Chirstian,Koblick,10004,1986-12-01,40054,1954-05-01
Assistant Engineer,Sumant,Peac,10009,1985-02-18,60929,1952-04-19
Engineer,Sumant,Peac,10009,1985-02-18,60929,1952-04-19
Senior Engineer,Sumant,Peac,10009,1985-02-18,60929,1952-04-19
Engineer,Kazuhide,Peha,10018,1987-04-03,55881,1954-06-19
Senior Engineer,Kazuhide,Peha,10018,1987-04-03,55881,1954-06-19
Engineer,Alain,Chappelet,10035,1988-09-05,41538,1953-02-08
Senior Engineer,Alain,Chappelet,10035,1988-09-05,41538,1953-02-08
Senior Staff,Sanjiv,Zschoche,10053,1994-11-13,67854,1954-09-13
Senior Staff,Berhard,McFarlin,10058,1988-04-25,52787,1954-10-01
Assistant Engineer,Kwee,Schusler,10066,1986-02-26,69736,1952-11-13
Engineer,Kwee,Schusler,10066,1986-02-26,69736,1952-11-13
Senior Engineer,Kwee,Schusler,10066,1986-02-26,69736,1952-11-13
Engineer,Claudi,Stavenow,10067,1987-03-04,44642,1953-01-07
Senior Engineer,Claudi,Stavenow,10067,1987-03-04,44642,1953-01-07
Technique Leader,Reuven,Garigliano,10070,1985-10-14,55999,1955-08-20
Engineer,Hironoby,Sidou,10072,1989-05-21,40000,1952-05-15
Senior Engineer,Hironoby,Sidou,10072,1989-05-21,40000,1952-05-15
Senior Engineer,Erez,Ritzmann,10076,1996-07-15,47319,1952-06-13
Senior Staff,Jungsoon,Syrzycki,10088,1988-09-02,65957,1954-02-25
Staff,Jungsoon,Syrzycki,10088,1988-09-02,65957,1954-02-25
Senior Staff,Hironobu,Haraldson,10100,1987-09-21,54398,1953-04-21
Staff,Hironobu,Haraldson,10100,1987-09-21,54398,1953-04-21
Engineer,Akemi,Birch,10103,1998-01-12,68158,1953-11-26
Staff,Lunjin,Giveon,10108,1999-03-20,40000,1952-04-07
Senior Engineer,Dayanand,Czap,10116,1994-02-27,44034,1955-08-26
Senior Staff,Kayoko,Valtorta,10126,1985-09-08,40000,1954-08-07
Staff,Kayoko,Valtorta,10126,1985-09-08,40000,1954-08-07
Technique Leader,Armond,Peir,10129,1996-01-16,40000,1955-12-02
Senior Engineer,Nishit,Casperson,10130,1988-06-21,40000,1955-04-27
Engineer,Diederik,Siprelle,10134,1987-12-12,40000,1953-04-15
